   Shot        onset_time(s)     Ip(MA)           Bt(T)         ne(10**19)         q95            beta_N          H_98          tau_E(s)         W_mhd(J)         li           beta_p
  178516	    3.59	 1.22774	-2.08576	 3.24188	 4.15872	 2.10189	 1.70328	0.182784	  934305	 1.06693	0.9567
  178496	   1.845	0.750665	-1.25706	 4.02125	 4.39857	  1.7837	0.779297	0.0699219	  309134	 1.01434	0.8611
  178503	   1.298	 1.21691	-2.03293	 1.74577	 3.97727	 1.51157	0.989282	0.304947	  757938	 1.21996	0.7589
  178508	   2.877	 1.23066	-2.08657	 2.82338	 4.18801	 1.74164	 1.11341	0.127992	  730588	  1.0918	0.7521
  178536	   5.905	 1.20031	-2.05662	 1.78333	 3.40226	0.716639	0.749946	0.149903	  313668	 1.38706	0.3082
  178544	   1.684	  1.0994	 -1.6307	 6.17622	 4.35811	 2.30073	 1.89741	0.284732	  714613	0.975136	0.9589
  178547	   4.242	 1.09475	-1.72547	  3.7304	 4.36892	 1.61073	 1.27973	0.160943	  531498	0.902099	0.7226
  178615	   3.749	 1.15857	-1.78919	 4.91991	   3.855	0.899727	 2.44667	0.344277	  384590	 1.09631	0.4353
  178609	   6.129	 1.15845	-1.76768	 5.14656	 4.11418	 1.42985	 1.02031	0.150716	  519506	 1.03923	0.6184
  178612	   5.606	 1.15509	-1.85401	 4.71495	 4.02319	 1.41244	 1.19996	0.180169	  554245	 1.08679	0.6404
  178616	   2.932	 1.16527	-1.77449	 5.83519	   4.148	 1.93161	  1.2672	0.153963	  748468	 1.16716	0.8514
  178619	   4.905	 1.17632	-1.81997	 3.96357	  4.0963	 1.59482	 1.08287	0.143766	  512930	0.906065	0.5838
  178620	   5.657	 1.16854	-1.79627	  5.6437	  4.0052	 1.15091	 1.09261	0.228879	  461667	0.978353	0.5188
  178651	   3.396	 1.23159	-1.85809	 7.27956	 3.61924	 2.06516	 1.30645	0.241339	  839703	0.903047	0.8839
  178714	   3.295	0.889232	-2.15547	 3.89361	 4.49018	 1.38678	0.897186	0.0890138	  489420	 1.59693	0.7944
  178716	   1.837	 1.70214	-2.15466	 3.64212	 3.86515	  1.6746	  1.5372	0.557541	1.3951e+06	 1.08277	0.789
  178719	   2.569	 1.95499	-2.17127	 9.84374	 3.63961	  2.5258	 1.20389	0.183131	2.05109e+06	0.919533	0.9008
  178816	   2.677	0.539952	  1.1239	 3.89016	 5.41173	 2.39931	 1.63939	0.185417	  307951	 1.13337	1.734
  178900	   2.523	0.975846	-2.00052	 6.16256	 6.40737	 3.82029	 1.78269	0.139362	1.4211e+06	 0.83441	2.399
  178921	   2.209	0.981062	-1.89213	 5.28902	 5.65687	 3.39211	 1.72926	0.184267	1.15902e+06	 1.04025	2.007
  178911	   4.128	0.971178	 -2.0558	 4.96306	 6.20508	 3.12861	 1.49194	0.0996275	1.13217e+06	0.923182	1.922
  178918	   2.418	0.967193	-1.99643	 5.74261	 6.57722	  3.5154	 1.87528	0.165681	1.31657e+06	0.940313	2.345
  178947	   1.751	 1.58152	-2.07132	 3.03896	 3.90683	 1.46612	 1.19728	0.439296	1.13336e+06	 1.11725	0.7296
  178920	   2.159	0.977129	-1.83004	 5.43432	 6.01449	 3.12421	 1.79335	0.155119	1.07289e+06	 1.02242	1.928
  178942	   1.785	 1.59236	-2.21675	 2.92982	 3.90276	 1.29449	 1.15904	0.548632	1.09251e+06	 1.18148	0.7074
  178943	   1.794	 1.58199	-2.14621	 3.35672	 3.95935	 1.72755	 1.51216	0.516643	1.29925e+06	 1.16669	0.8388
  178924	   2.564	0.974205	-1.88342	 4.59156	  6.1214	 3.32727	 1.64864	0.125389	1.17516e+06	0.967721	2.092
  178936	   1.806	 1.58413	-2.10999	 3.45736	   3.959	 1.68743	 2.56704	 0.39373	1.36074e+06	 1.18669	0.8818
  179021	   2.903	 1.01542	 1.96866	 3.89399	 5.85921	 1.80732	 1.01636	0.0895355	  717266	0.821074	1.139
  178994	    3.13	 1.10071	 1.77176	 6.29402	  4.9578	 3.24838	 1.58805	0.183071	1.20071e+06	0.833942	1.631
